Airport.Code,Airport.Name,Time.Label,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System
MCO,"Orlando, FL: Orlando International",2004/01,January,2004,503,518,663
MDW,"Chicago, IL: Chicago Midway International",2004/01,January,2004,224,560,802
MIA,"Miami, FL: Miami International",2004/01,January,2004,344,285,593
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/01,January,2004,583,583,1504
ORD,"Chicago, IL: Chicago O'Hare International",2004/01,January,2004,1248,2501,8999
PDX,"Portland, OR: Portland International",2004/01,January,2004,267,315,319
PHL,"Philadelphia, PA: Philadelphia International",2004/01,January,2004,378,601,927
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/01,January,2004,700,786,820
SAN,"San Diego, CA: San Diego International",2004/01,January,2004,404,419,359
SEA,"Seattle, WA: Seattle/Tacoma International",2004/01,January,2004,559,722,812
SFO,"San Francisco, CA: San Francisco International",2004/01,January,2004,640,553,1992
SLC,"Salt Lake City, UT: Salt Lake City International",2004/01,January,2004,1152,593,1157
TPA,"Tampa, FL: Tampa International",2004/01,January,2004,281,399,375
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/02,Febuary,2004,1197,1579,7959
BOS,"Boston, MA: Logan International",2004/02,Febuary,2004,358,484,606
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/02,Febuary,2004,336,543,362
CLT,"Charlotte, NC: Charlotte Douglas International",2004/02,Febuary,2004,232,422,561
DCA,"Washington, DC: Ronald Reagan Washington National",2004/02,Febuary,2004,308,265,384
DEN,"Denver, CO: Denver International",2004/02,Febuary,2004,592,467,605
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/02,Febuary,2004,905,1437,2664
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/02,Febuary,2004,403,414,790
EWR,"Newark, NJ: Newark Liberty International",2004/02,Febuary,2004,321,555,1613
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/02,Febuary,2004,331,418,652
IAD,"Washington, DC: Washington Dulles International",2004/02,Febuary,2004,206,444,295
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/02,Febuary,2004,417,680,2089
JFK,"New York, NY: John F. Kennedy International",2004/02,Febuary,2004,300,288,465
LAS,"Las Vegas, NV: McCarran International",2004/02,Febuary,2004,561,921,1189
LAX,"Los Angeles, CA: Los Angeles International",2004/02,Febuary,2004,811,884,866
LGA,"New York, NY: LaGuardia",2004/02,Febuary,2004,343,496,976
MCO,"Orlando, FL: Orlando International",2004/02,Febuary,2004,502,492,768
MDW,"Chicago, IL: Chicago Midway International",2004/02,Febuary,2004,213,470,443
MIA,"Miami, FL: Miami International",2004/02,Febuary,2004,347,261,565
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/02,Febuary,2004,495,527,1543
ORD,"Chicago, IL: Chicago O'Hare International",2004/02,Febuary,2004,807,2205,6081
PDX,"Portland, OR: Portland International",2004/02,Febuary,2004,177,263,209
PHL,"Philadelphia, PA: Philadelphia International",2004/02,Febuary,2004,280,518,728
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/02,Febuary,2004,633,874,1107
SAN,"San Diego, CA: San Diego International",2004/02,Febuary,2004,339,416,302
SEA,"Seattle, WA: Seattle/Tacoma International",2004/02,Febuary,2004,340,534,411
SFO,"San Francisco, CA: San Francisco International",2004/02,Febuary,2004,463,388,1447
SLC,"Salt Lake City, UT: Salt Lake City International",2004/02,Febuary,2004,813,492,737
TPA,"Tampa, FL: Tampa International",2004/02,Febuary,2004,300,437,468
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/03,March,2004,1068,912,3195
BOS,"Boston, MA: Logan International",2004/03,March,2004,374,578,983
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/03,March,2004,413,589,406
CLT,"Charlotte, NC: Charlotte Douglas International",2004/03,March,2004,223,437,402
DCA,"Washington, DC: Ronald Reagan Washington National",2004/03,March,2004,318,296,428
DEN,"Denver, CO: Denver International",2004/03,March,2004,525,412,453
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/03,March,2004,778,943,1477
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/03,March,2004,506,504,1159
EWR,"Newark, NJ: Newark Liberty International",2004/03,March,2004,335,622,2555
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/03,March,2004,323,377,490
IAD,"Washington, DC: Washington Dulles International",2004/03,March,2004,220,462,390
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/03,March,2004,432,611,1720
JFK,"New York, NY: John F. Kennedy International",2004/03,March,2004,335,350,828
LAS,"Las Vegas, NV: McCarran International",2004/03,March,2004,557,929,730
LAX,"Los Angeles, CA: Los Angeles International",2004/03,March,2004,818,877,744
LGA,"New York, NY: LaGuardia",2004/03,March,2004,386,464,1394
MCO,"Orlando, FL: Orlando International",2004/03,March,2004,435,490,433
MDW,"Chicago, IL: Chicago Midway International",2004/03,March,2004,242,529,612
MIA,"Miami, FL: Miami International",2004/03,March,2004,260,216,359
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/03,March,2004,534,527,1393
ORD,"Chicago, IL: Chicago O'Hare International",2004/03,March,2004,841,2491,7894
PDX,"Portland, OR: Portland International",2004/03,March,2004,205,265,210
PHL,"Philadelphia, PA: Philadelphia International",2004/03,March,2004,296,542,1116
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/03,March,2004,614,817,662
SAN,"San Diego, CA: San Diego International",2004/03,March,2004,355,392,302
SEA,"Seattle, WA: Seattle/Tacoma International",2004/03,March,2004,425,554,591
SFO,"San Francisco, CA: San Francisco International",2004/03,March,2004,433,364,794
SLC,"Salt Lake City, UT: Salt Lake City International",2004/03,March,2004,500,325,362
TPA,"Tampa, FL: Tampa International",2004/03,March,2004,290,385,252
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/04,April,2004,1007,924,3550
BOS,"Boston, MA: Logan International",2004/04,April,2004,399,529,753
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/04,April,2004,363,648,398
CLT,"Charlotte, NC: Charlotte Douglas International",2004/04,April,2004,237,388,467
DCA,"Washington, DC: Ronald Reagan Washington National",2004/04,April,2004,294,285,383
DEN,"Denver, CO: Denver International",2004/04,April,2004,490,364,523
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/04,April,2004,700,777,1396
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/04,April,2004,422,383,768
EWR,"Newark, NJ: Newark Liberty International",2004/04,April,2004,355,655,2336
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/04,April,2004,309,374,617
IAD,"Washington, DC: Washington Dulles International",2004/04,April,2004,222,430,663
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/04,April,2004,418,660,1629
JFK,"New York, NY: John F. Kennedy International",2004/04,April,2004,357,297,819
LAS,"Las Vegas, NV: McCarran International",2004/04,April,2004,528,875,847
LAX,"Los Angeles, CA: Los Angeles International",2004/04,April,2004,775,813,802
LGA,"New York, NY: LaGuardia",2004/04,April,2004,324,451,1385
MCO,"Orlando, FL: Orlando International",2004/04,April,2004,423,513,684
MDW,"Chicago, IL: Chicago Midway International",2004/04,April,2004,235,479,412
MIA,"Miami, FL: Miami International",2004/04,April,2004,223,160,464
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/04,April,2004,380,300,802
ORD,"Chicago, IL: Chicago O'Hare International",2004/04,April,2004,728,1483,5346
PDX,"Portland, OR: Portland International",2004/04,April,2004,185,233,157
PHL,"Philadelphia, PA: Philadelphia International",2004/04,April,2004,315,448,1138
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/04,April,2004,549,782,607
SAN,"San Diego, CA: San Diego International",2004/04,April,2004,363,377,250
SEA,"Seattle, WA: Seattle/Tacoma International",2004/04,April,2004,333,489,337
SFO,"San Francisco, CA: San Francisco International",2004/04,April,2004,395,293,773
SLC,"Salt Lake City, UT: Salt Lake City International",2004/04,April,2004,549,284,628
TPA,"Tampa, FL: Tampa International",2004/04,April,2004,255,348,333
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/05,May,2004,1326,1515,5402
BOS,"Boston, MA: Logan International",2004/05,May,2004,435,662,1295
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/05,May,2004,393,795,730
CLT,"Charlotte, NC: Charlotte Douglas International",2004/05,May,2004,262,424,556
DCA,"Washington, DC: Ronald Reagan Washington National",2004/05,May,2004,323,328,713
DEN,"Denver, CO: Denver International",2004/05,May,2004,631,525,774
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/05,May,2004,926,930,1724
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/05,May,2004,496,550,1094
EWR,"Newark, NJ: Newark Liberty International",2004/05,May,2004,384,792,2548
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/05,May,2004,274,420,369
IAD,"Washington, DC: Washington Dulles International",2004/05,May,2004,261,726,737
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/05,May,2004,547,836,1488
JFK,"New York, NY: John F. Kennedy International",2004/05,May,2004,328,358,845
LAS,"Las Vegas, NV: McCarran International",2004/05,May,2004,598,912,747
LAX,"Los Angeles, CA: Los Angeles International",2004/05,May,2004,804,842,1224
LGA,"New York, NY: LaGuardia",2004/05,May,2004,362,511,1736
MCO,"Orlando, FL: Orlando International",2004/05,May,2004,439,565,634
MDW,"Chicago, IL: Chicago Midway International",2004/05,May,2004,251,643,848
MIA,"Miami, FL: Miami International",2004/05,May,2004,262,257,420
